price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd
272500,22/1/16,The Entrance North,1,1,1,122,Apartment / Unit / Flat,1474,31148,1.018,-33.33333,151.50775,0,2,150.9,65.14
2300000,25/1/16,Concord,3,5,2,556,House,14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6
940000,25/1/16,Acacia Gardens,2,4,2,560,House,3798,47060,1.001,-33.73411,150.91377,88,2,150.9,31.04
695000,25/1/16,Wetherill Park,1,3,2,550,House,6127,25688,11.214,-33.84214,150.89843,43,2,150.9,28.94
930000,26/1/16,Picnic Point,1,4,5,607,House,6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31
2300000,27/1/16,Dolans Bay,5,5,6,1151,House,598,46800,0.259,-34.06337,151.12578,26,2,150.9,23.32
670000,27/1/16,North Avoca,2,4,2,556,House,2200,45084,1.497,-33.45608,151.43598,18,2,150.9,49.98
557000,27/1/16,Bensville,2,3,2,556,House,2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91
558000,28/1/16,Chittaway Bay,2,4,3,771,House,2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59
550000,28/1/16,Kincumber,1,3,1,618,House,7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05
2015000,29/1/16,Concord,2,4,2,581,House,14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6
2000000,29/1/16,Greenhills Beach,4,5,5,669,House,792,59592,0.539,-34.03624,151.1585,6,2,150.9,19.56
936000,29/1/16,North Rocks,1,3,1,710,House,7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61
1500000,30/1/16,North Rocks,4,5,3,987,House,7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61
712000,30/1/16,Bass Hill,1,3,3,758,House,9069,24388,2.929,-33.90028,150.99309,40,2,150.9,20.43
646000,30/1/16,North Avoca,1,1,2,601,House,2200,45084,1.497,-33.45608,151.43598,18,2,150.9,49.98
1180000,31/1/16,North Rocks,3,4,2,720,House,7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61
1930000,13/2/16,Croydon,3,4,4,506,House,10612,34996,2.435,-33.88062,151.1169,28,2,150.9,8.77
1670000,13/2/16,Elanora Heights,2,4,2,800,House,4357,44460,3.877,-33.70172,151.27318,105,2,150.9,19.05
1600000,13/2/16,Leichhardt,1,4,0,177,House,14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31
850000,13/2/16,Chittaway Bay,3,4,4,695,House,2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59
828000,13/2/16,Wetherill Park,2,3,1,563,House,6127,25688,11.214,-33.84214,150.89843,43,2,150.9,28.94
580000,13/2/16,Narara,1,3,1,601,House,7934,34632,8.242,-33.39553,151.33681,10,2,150.9,53.4
1280000,15/2/16,Concord,2,3,2,335,Semi-Detached,14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6
930000,15/2/16,Canley Vale,2,4,3,1080,House,10216,20592,2.887,-33.88495,150.95058,11,2,150.9,24.09
900000,15/2/16,Killcare Heights,2,4,6,702,House,745,40716,2.146,-33.52256,151.37418,127,2,150.9,40.94
710000,15/2/16,Bass Hill,1,3,2,638,House,9069,24388,2.929,-33.90028,150.99309,40,2,150.9,20.43
553000,15/2/16,Bensville,1,3,1,771,House,2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91
2949000,16/2/16,North Turramurra,4,5,2,950,New House & Land,4257,42484,11.614,-33.69054,151.15407,169,2,150.9,20.05
1180000,16/2/16,North Rocks,2,4,2,735,House,7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61
1030000,16/2/16,Avalon Beach,1,3,4,650,House,9905,43628,5.131,-33.62899,151.32686,46,2,150.9,28.35
905000,16/2/16,Panania,2,4,1,278,Duplex,12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21
750000,16/2/16,Bass Hill,2,4,2,290,Duplex,9069,24388,2.929,-33.90028,150.99309,40,2,150.9,20.43
580000,16/2/16,Bensville,2,3,1,1764,House,2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91
1325000,17/2/16,North Rocks,2,5,2,739,House,7965,40092,5.462,-33.77572,151.01474,92,2,150.9,20.61
1130000,17/2/16,Rosehill,1,3,0,948,House,3806,39624,3.67,-33.82647,151.03151,4,2,150.9,17.06
1100000,17/2/16,Picnic Point,1,3,4,975,House,6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31
1039000,17/2/16,Lansvale,3,5,2,569,House,2570,25376,2.893,-33.89877,150.96071,5,2,150.9,23.35
977000,17/2/16,Petersham,1,2,0,170,House,8116,52884,1.287,-33.89452,151.1556,41,2,150.9,5.99
320000,17/2/16,Rosemeadow,0,0,0,592,Vacant land,7862,32864,2.976,-34.10624,150.79181,149,2,150.9,46.98
2300000,18/2/16,Ultimo,2,4,0,134,House,8845,20072,0.559,-33.87941,151.19845,23,2,150.9,1.9
1500000,18/2/16,Leichhardt,2,4,0,177,House,14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31
1400000,19/2/16,Croydon,2,3,3,394,House,10612,34996,2.435,-33.88062,151.1169,28,2,150.9,8.77
1265000,19/2/16,Leichhardt,1,3,0,220,House,14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31
510000,19/2/16,Narara,2,5,2,1037,House,7934,34632,8.242,-33.39553,151.33681,10,2,150.9,53.4
1720000,20/2/16,Concord,1,4,2,512,House,14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6
1340000,20/2/16,Burwood,1,2,2,273,House,16030,24856,2.435,-33.87838,151.10412,33,2,150.9,9.9
1300000,20/2/16,Avalon Beach,3,4,2,696,House,9905,43628,5.131,-33.62899,151.32686,46,2,150.9,28.35
1180000,20/2/16,Eastlakes,2,3,3,335,House,6912,25740,2.003,-33.93108,151.21145,18,2,150.9,7.32
1110000,20/2/16,Picnic Point,1,3,1,620,House,6160,40560,3.859,-33.97301,151.00632,33,2,150.9,22.31
875000,20/2/16,Panania,2,3,1,556,House,12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21
865000,20/2/16,Panania,1,3,2,556,House,12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21
862000,22/2/16,Panania,2,4,2,355,Semi-Detached,12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21
595000,22/2/16,Avalon Beach,1,1,1,140,Apartment / Unit / Flat,9905,43628,5.131,-33.62899,151.32686,46,2,150.9,28.35
520000,23/2/16,Kincumber,1,3,1,602,House,7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05
495000,23/2/16,Killarney Vale,1,3,1,626,House,7216,30108,3.018,-33.36629,151.4607,8,2,150.9,60.03
870000,24/2/16,Killcare Heights,3,4,4,955,House,745,40716,2.146,-33.52256,151.37418,127,2,150.9,40.94
730000,24/2/16,Kincumber,2,4,2,624,House,7093,29432,9.914,-33.47252,151.40208,24,2,150.9,47.05
715000,24/2/16,Bensville,3,5,2,732,House,2545,36764,4.925,-33.49914,151.39045,27,2,150.9,43.91
453000,24/2/16,Killarney Vale,2,3,1,330,House,7216,30108,3.018,-33.36629,151.4607,8,2,150.9,60.03
2100000,25/2/16,Drummoyne,1,4,1,417,House,11950,60840,2.31,-33.85205,151.15424,31,2,150.9,5.35
1985000,25/2/16,Millers Point,1,3,0,112,House,1482,79300,0.251,-33.85966,151.20425,35,2,150.9,0.8
1780000,25/2/16,Millers Point,1,3,0,111,House,1482,79300,0.251,-33.85966,151.20425,35,2,150.9,0.8
1415000,25/2/16,Russell Lea,1,2,0,272,House,5001,47684,1.02,-33.85841,151.14202,20,2,150.9,6.33
1250000,25/2/16,Elanora Heights,2,3,6,1024,House,4357,44460,3.877,-33.70172,151.27318,105,2,150.9,19.05
545000,25/2/16,Narara,1,4,1,601,House,7934,34632,8.242,-33.39553,151.33681,10,2,150.9,53.4
1440000,26/2/16,Avalon Beach,3,5,3,657,House,9905,43628,5.131,-33.62899,151.32686,46,2,150.9,28.35
1230000,26/2/16,Mascot,2,3,2,266,House,14772,41912,11.961,-33.9466,151.18371,3,2,150.9,9.35
915000,26/2/16,Bossley Park,2,5,2,619,House,14585,25012,4.536,-33.86202,150.88392,56,2,150.9,30.17
619000,26/2/16,Panania,2,2,1,171,Villa,12419,34216,4.751,-33.95493,150.99524,18,2,150.9,22.21
450000,26/2/16,Chittaway Bay,1,3,4,588,House,2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59
225000,26/2/16,Chittaway Bay,0,1,0,486,Vacant land,2028,31668,1.116,-33.32678,151.44557,3,2,150.9,63.59
3100000,27/2/16,Point Clare,4,6,2,2245,House,3731,31772,3.336,-33.44017,151.31715,62,2,150.9,48.17
1800000,27/2/16,Leichhardt,2,3,1,348,House,14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31
1550000,27/2/16,North Turramurra,1,3,2,961,House,4257,42484,11.614,-33.69054,151.15407,169,2,150.9,20.05
1465000,27/2/16,Beecroft,2,4,1,853,House,9396,47112,5.117,-33.75342,151.06372,130,2,150.9,18.35
1280000,27/2/16,Rodd Point,1,2,1,303,House,1376,44876,0.374,-33.86584,151.14375,10,2,150.9,6.12
1160000,27/2/16,Leichhardt,1,3,0,186,House,14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31
1085000,27/2/16,Leichhardt,1,2,1,209,House,14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31
1000000,27/2/16,Ermington,2,6,3,822,House,10737,33644,4.135,-33.8105,151.06162,40,2,150.9,15
925000,27/2/16,Leichhardt,1,2,0,139,House,14625,56784,2.595,-33.88143,151.15595,31,2,150.9,5.31
820000,27/2/16,Padstow Heights,1,3,2,588,House,3540,34268,1.931,-33.97042,151.03352,51,2,150.9,20.06
761000,27/2/16,Padstow Heights,2,3,1,551,House,3540,34268,1.931,-33.97042,151.03352,51,2,150.9,20.06
3100000,29/2/16,Avalon Beach,3,4,5,1138,House,9905,43628,5.131,-33.62899,151.32686,46,2,150.9,28.35
1650000,29/2/16,Concord,1,2,1,531,House,14533,39052,5.058,-33.85608,151.10677,6,2,150.9,9.6
1543000,29/2/16,Russell Lea,1,3,1,411,House,5001,47684,1.02,-33.85841,151.14202,20,2,150.9,6.33
1255000,29/2/16,Blackwall,2,4,8,872,House,1888,31148,1.143,-33.50518,151.33518,80,2,150.9,41.58
1100000,29/2/16,Alexandria,1,2,1,112,House,8262,69732,3.516,-33.9082,151.19191,9,2,150.9,5.06
755000,29/2/16,Zetland,1,1,1,59,Apartment / Unit / Flat,10078,45604,0.805,-33.90769,151.2083,23,2,150.9,4.72
500000,29/2/16,Killarney Vale,1,3,0,696,House,7216,30108,3.018,-33.36629,151.4607,8,2,150.9,60.03
850000,13/3/16,Revesby,1,4,1,313,Semi-Detached,14176,31616,5.608,-33.94767,151.01233,14,2,155.2,20.44
478000,13/3/16,Killarney Vale,2,4,2,556,House,7216,30108,3.018,-33.36629,151.4607,8,2,155.2,60.03
700000,14/3/16,Macmasters Beach,2,3,1,980,House,1294,37440,5.879,-33.49756,151.40816,46,2,155.2,44.72
690000,14/3/16,Wyong,2,4,3,2396,House,4326,25480,11.434,-33.27889,151.43056,3,2,155.2,68.18
540000,14/3/16,Chittaway Bay,2,3,3,522,House,2028,31668,1.116,-33.32678,151.44557,3,2,155.2,63.59
950000,16/3/16,Como,1,3,2,588,House,3977,49296,1.598,-34.00258,151.0648,42,2,155.2,20.31
785000,16/3/16,Rosehill,1,3,2,481,House,3806,39624,3.67,-33.82647,151.03151,4,2,155.2,17.06
660000,16/3/16,Macmasters Beach,3,2,2,917,House,1294,37440,5.879,-33.49756,151.40816,46,2,155.2,44.72
487000,16/3/16,Narara,1,3,1,493,House,7934,34632,8.242,-33.39553,151.33681,10,2,155.2,53.4
1620000,17/3/16,Birchgrove,1,3,1,200,House,3303,78780,0.586,-33.85093,151.18309,24,2,155.2,2.94
1200000,17/3/16,Warrimoo,2,5,6,8818,House,2450,43524,8.576,-33.7239,150.61735,210,2,155.2,57.07
1105000,17/3/16,Mascot,1,3,0,253,House,14772,41912,11.961,-33.9466,151.18371,3,2,155.2,9.35
790000,17/3/16,Bass Hill,1,4,2,556,House,9069,24388,2.929,-33.90028,150.99309,40,2,155.2,20.43
450000,17/3/16,Narara,1,3,1,639,House,7934,34632,8.242,-33.39553,151.33681,10,2,155.2,53.4
2890000,18/3/16,Northbridge,2,5,3,903,House,6347,60060,2.728,-33.8112,151.2183,87,2,155.2,6.03
1960000,18/3/16,East Killara,3,5,2,834,House,2978,38428,3.19,-33.75738,151.18183,78,2,155.2,12.23
1800000,18/3/16,Alexandria,2,3,2,145,House,8262,69732,3.516,-33.9082,151.19191,9,2,155.2,5.06
732000,18/3/16,Wetherill Park,2,3,1,553,House,6127,25688,11.214,-33.84214,150.89843,43,2,155.2,28.94
580000,18/3/16,Woodcroft,2,3,1,200,Semi-Detached,6440,40768,1.693,-33.75523,150.88065,38,2,155.2,32.83
2418000,19/3/16,Bondi Junction,2,3,0,205,House,9445,54964,1.079,-33.89296,151.2503,89,2,155.2,4.85
2113000,19/3/16,West Pymble,2,4,4,850,House,5298,48672,3.684,-33.76365,151.12999,80,2,155.2,13.47
2055000,19/3/16,Avalon Beach,3,5,2,718,House,9905,43628,5.131,-33.62899,151.32686,46,2,155.2,28.35
2050000,19/3/16,La Perouse,2,3,2,667,House,399,33124,1.755,-33.99151,151.24014,50,2,155.2,14.29
1930000,19/3/16,Russell Lea,2,3,2,369,House,5001,47684,1.02,-33.85841,151.14202,20,2,155.2,6.33
1740000,19/3/16,Croydon,2,4,2,468,House,10612,34996,2.435,-33.88062,151.1169,28,2,155.2,8.77
1500000,19/3/16,Russell Lea,1,2,2,334,House,5001,47684,1.02,-33.85841,151.14202,20,2,155.2,6.33
1435500,19/3/16,Eastlakes,1,3,3,468,House,6912,25740,2.003,-33.93108,151.21145,18,2,155.2,7.32
1390000,19/3/16,Croydon,1,3,1,701,House,10612,34996,2.435,-33.88062,151.1169,28,2,155.2,8.77
1219000,19/3/16,Mascot,2,3,1,251,House,14772,41912,11.961,-33.9466,151.18371,3,2,155.2,9.35
629000,19/3/16,Blackwall,2,3,2,306,House,1888,31148,1.143,-33.50518,151.33518,80,2,155.2,41.58
1365000,20/3/16,Petersham,1,3,2,279,House,8116,52884,1.287,-33.89452,151.1556,41,2,155.2,5.99
2650000,21/3/16,Putney,2,4,2,674,House,4107,44876,1.508,-33.8268,151.10602,35,2,155.2,10.51
1850000,21/3/16,North Turramurra,4,4,2,930,House,4257,42484,11.614,-33.69054,151.15407,169,2,155.2,20.05
1150000,21/3/16,Ermington,3,4,2,524,House,10737,33644,4.135,-33.8105,151.06162,40,2,155.2,15
925000,21/3/16,Picnic Point,3,5,2,350,House,6160,40560,3.859,-33.97301,151.00632,33,2,155.2,22.31
739950,21/3/16,Narellan Vale,2,4,2,700,House,7193,40352,2.481,-34.05177,150.74372,98,2,155.2,47.8
600000,21/3/16,Kingswood,0,0,0,871,Vacant land,9301,33228,4.782,-33.76129,150.72784,42,2,155.2,46.09
1045000,22/3/16,Padstow Heights,2,4,3,522,House,3540,34268,1.931,-33.97042,151.03352,51,2,155.2,20.06
920000,22/3/16,Bass Hill,2,6,3,556,House,9069,24388,2.929,-33.90028,150.99309,40,2,155.2,20.43
446000,22/3/16,Chittaway Bay,2,4,1,614,House,2028,31668,1.116,-33.32678,151.44557,3,2,155.2,63.59
935000,23/3/16,Revesby,1,3,1,790,House,14176,31616,5.608,-33.94767,151.01233,14,2,155.2,20.44
867000,23/3/16,Revesby,2,4,2,575,House,14176,31616,5.608,-33.94767,151.01233,14,2,155.2,20.44
689000,23/3/16,Revesby,2,3,1,220,Townhouse,14176,31616,5.608,-33.94767,151.01233,14,2,155.2,20.44
660000,23/3/16,Empire Bay,2,3,2,632,House,2400,32604,3.974,-33.5035,151.36918,5,2,155.2,42.74
587500,23/3/16,Narellan Vale,2,3,2,544,House,7193,40352,2.481,-34.05177,150.74372,98,2,155.2,47.8
2450000,24/3/16,Birchgrove,3,4,0,230,House,3303,78780,0.586,-33.85093,151.18309,24,2,155.2,2.94
745000,24/3/16,Ermington,1,4,0,720,House,10737,33644,4.135,-33.8105,151.06162,40,2,155.2,15
730000,24/3/16,Petersham,2,3,1,118,Apartment / Unit / Flat,8116,52884,1.287,-33.89452,151.1556,41,2,155.2,5.99
457000,24/3/16,Killarney Vale,2,3,1,311,House,7216,30108,3.018,-33.36629,151.4607,8,2,155.2,60.03
820000,26/3/16,Bossley Park,2,4,2,591,House,14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17
1570000,29/3/16,West Pymble,1,3,0,1416,House,5298,48672,3.684,-33.76365,151.12999,80,2,155.2,13.47
1525000,29/3/16,Picnic Point,2,5,5,1069,House,6160,40560,3.859,-33.97301,151.00632,33,2,155.2,22.31
1225000,29/3/16,Ermington,1,3,2,936,House,10737,33644,4.135,-33.8105,151.06162,40,2,155.2,15
740000,29/3/16,Bensville,2,4,2,533,House,2545,36764,4.925,-33.49914,151.39045,27,2,155.2,43.91
708000,29/3/16,Bossley Park,2,3,2,586,House,14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17
675000,29/3/16,Canley Vale,1,3,1,556,House,10216,20592,2.887,-33.88495,150.95058,11,2,155.2,24.09
400000,29/3/16,Killarney Vale,1,2,1,506,House,7216,30108,3.018,-33.36629,151.4607,8,2,155.2,60.03
950000,30/3/16,Pennant Hills,2,3,2,466,House,7287,43472,6.123,-33.73636,151.07741,168,2,155.2,18.83
900000,30/3/16,Alexandria,1,2,1,603,Apartment / Unit / Flat,8262,69732,3.516,-33.9082,151.19191,9,2,155.2,5.06
795000,30/3/16,Woodcroft,2,4,4,431,House,6440,40768,1.693,-33.75523,150.88065,38,2,155.2,32.83
655000,30/3/16,Narellan Vale,2,4,2,701,House,7193,40352,2.481,-34.05177,150.74372,98,2,155.2,47.8
545000,31/3/16,East Gosford,1,3,0,1024,House,4238,31252,2.079,-33.43514,151.35463,15,2,155.2,49.55
2250000,13/4/16,Carss Park,4,5,2,737,House,1252,36816,0.63,-33.98679,151.11717,22,2,155.2,15.99
875000,13/4/16,Oran Park,2,4,2,565,House,4765,50336,13.744,-33.99074,150.74247,81,2,155.2,45.41
845000,13/4/16,Picnic Point,2,5,4,664,House,6160,40560,3.859,-33.97301,151.00632,33,2,155.2,22.31
720000,13/4/16,Narara,2,5,0,2890,House,7934,34632,8.242,-33.39553,151.33681,10,2,155.2,53.4
650000,13/4/16,Kingswood,2,4,3,638,House,9301,33228,4.782,-33.76129,150.72784,42,2,155.2,46.09
426000,13/4/16,Wyong,1,3,2,601,House,4326,25480,11.434,-33.27889,151.43056,3,2,155.2,68.18
915000,14/4/16,Padstow Heights,3,3,2,300,Semi-Detached,3540,34268,1.931,-33.97042,151.03352,51,2,155.2,20.06
795000,14/4/16,Chittaway Bay,3,4,2,663,House,2028,31668,1.116,-33.32678,151.44557,3,2,155.2,63.59
525000,14/4/16,Narara,1,3,1,551,House,7934,34632,8.242,-33.39553,151.33681,10,2,155.2,53.4
1420000,15/4/16,Ermington,3,4,2,432,House,10737,33644,4.135,-33.8105,151.06162,40,2,155.2,15
1250000,15/4/16,Putney,2,3,1,336,House,4107,44876,1.508,-33.8268,151.10602,35,2,155.2,10.51
1225000,15/4/16,Pretty Beach,2,3,4,2137,House,352,34320,0.529,-33.52717,151.34781,2,2,155.2,39.61
495000,15/4/16,Wyong,2,4,2,702,House,4326,25480,11.434,-33.27889,151.43056,3,2,155.2,68.18
469000,15/4/16,Wyong,2,3,2,660,House,4326,25480,11.434,-33.27889,151.43056,3,2,155.2,68.18
1710000,16/4/16,Daceyville,2,4,2,562,House,1209,20800,0.488,-33.9289,151.22527,25,2,155.2,7.21
766000,16/4/16,Revesby,1,3,1,556,House,14176,31616,5.608,-33.94767,151.01233,14,2,155.2,20.44
1840000,17/4/16,Bondi Junction,1,3,0,264,House,9445,54964,1.079,-33.89296,151.2503,89,2,155.2,4.85
1212000,18/4/16,West Pymble,1,2,1,835,House,5298,48672,3.684,-33.76365,151.12999,80,2,155.2,13.47
518000,18/4/16,Bradbury,1,3,1,619,House,8800,31980,3.734,-34.08405,150.81805,126,2,155.2,43.6
495000,18/4/16,Rosemeadow,1,3,1,648,House,7862,32864,2.976,-34.10624,150.79181,149,2,155.2,46.98
410000,18/4/16,Oran Park,0,0,0,450,Vacant land,4765,50336,13.744,-33.99074,150.74247,81,2,155.2,45.41
1060000,19/4/16,Ermington,2,4,2,720,House,10737,33644,4.135,-33.8105,151.06162,40,2,155.2,15
930000,19/4/16,Ermington,1,3,1,581,House,10737,33644,4.135,-33.8105,151.06162,40,2,155.2,15
702000,19/4/16,Bradbury,3,4,4,891,House,8800,31980,3.734,-34.08405,150.81805,126,2,155.2,43.6
2050000,20/4/16,Booker Bay,1,3,2,1088,House,1326,28860,0.494,-33.51258,151.34636,3,2,155.2,41.1
695000,20/4/16,Narara,3,4,2,512,House,7934,34632,8.242,-33.39553,151.33681,10,2,155.2,53.4
435000,20/4/16,Budgewoi,2,3,1,569,House,3360,29120,2.814,-33.23957,151.56058,3,2,155.2,76.65
435000,20/4/16,Budgewoi,2,4,3,556,House,3360,29120,2.814,-33.23957,151.56058,3,2,155.2,76.65
960000,21/4/16,Como,2,4,2,784,House,3977,49296,1.598,-34.00258,151.0648,42,2,155.2,20.31
665000,21/4/16,Kingswood,1,6,6,676,House,9301,33228,4.782,-33.76129,150.72784,42,2,155.2,46.09
1400000,22/4/16,Petersham,2,3,3,247,House,8116,52884,1.287,-33.89452,151.1556,41,2,155.2,5.99
1175000,22/4/16,Mannering Park,3,3,6,687,House,2472,28964,7.129,-33.16376,151.5404,7,2,155.2,83.63
1059000,22/4/16,Ermington,2,4,3,552,House,10737,33644,4.135,-33.8105,151.06162,40,2,155.2,15
750000,22/4/16,Sefton,1,3,0,540,House,5808,24700,1.815,-33.88742,151.0104,39,2,155.2,18.62
575000,22/4/16,Bensville,2,4,0,746,House,2545,36764,4.925,-33.49914,151.39045,27,2,155.2,43.91
454000,22/4/16,Oran Park,0,0,0,540,Vacant land,4765,50336,13.744,-33.99074,150.74247,81,2,155.2,45.41
375000,22/4/16,Wyong,1,2,1,465,House,4326,25480,11.434,-33.27889,151.43056,3,2,155.2,68.18
2455000,23/4/16,Taren Point,2,4,2,915,House,1734,36296,1.359,-34.01833,151.12465,8,2,155.2,18.73
2155000,23/4/16,Carss Park,2,4,2,605,House,1252,36816,0.63,-33.98679,151.11717,22,2,155.2,15.99
1330000,23/4/16,Pennant Hills,2,3,1,929,House,7287,43472,6.123,-33.73636,151.07741,168,2,155.2,18.83
910000,23/4/16,Rouse Hill,2,5,2,700,House,7965,45812,10.638,-33.67757,150.91278,45,2,155.2,34.5
871000,23/4/16,Bossley Park,2,3,2,563,House,14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17
595000,23/4/16,Riverstone,1,3,1,692,House,7247,36764,22.465,-33.66886,150.85969,28,2,155.2,39.07
365000,23/4/16,Bardia,0,0,0,280,New land,1602,47788,2.11,-33.9773,150.86232,64,2,155.2,34.46
1820000,26/4/16,East Killara,2,4,2,835,House,2978,38428,3.19,-33.75738,151.18183,78,2,155.2,12.23
1160000,26/4/16,Lewisham,1,3,1,242,House,3164,48204,0.642,-33.8953,151.14668,25,2,155.2,6.74
1330000,27/4/16,Petersham,1,3,0,234,House,8116,52884,1.287,-33.89452,151.1556,41,2,155.2,5.99
840000,27/4/16,Bossley Park,3,4,2,605,House,14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17
410000,27/4/16,Oran Park,0,0,0,450,Vacant land,4765,50336,13.744,-33.99074,150.74247,81,2,155.2,45.41
1865000,28/4/16,Homebush West,2,4,2,702,House,8609,35412,1.235,-33.86291,151.06711,22,2,155.2,13.21
1080000,28/4/16,Rouse Hill,2,4,2,700,House,7965,45812,10.638,-33.67757,150.91278,45,2,155.2,34.5
780000,28/4/16,Bossley Park,2,3,2,570,House,14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17
